A_scale,ReA_nm,ReC_nm,best_CR,best_A_base_deg,best_A_kind
0.2,31.0,-195.0,10.967302366735067,90.0,upper
0.2,31.0,-190.0,11.399649416454452,90.0,upper
0.2,31.0,-185.0,11.859287299770179,90.0,upper
0.2,31.0,-180.0,12.34846231860484,90.0,upper
0.2,31.0,-175.0,12.869646352234733,90.0,upper
0.2,31.0,-170.0,13.425562964200475,90.0,upper
0.2,31.0,-165.0,14.019216801959129,90.0,upper
0.2,31.0,-160.0,14.653926704858561,90.0,upper
0.2,31.0,-155.0,15.333362977249688,90.0,upper
0.2,31.0,-150.0,16.061589322654115,90.0,upper
0.2,31.0,-145.0,16.84310996808935,90.0,upper
0.2,31.0,-140.0,17.682922529142342,90.0,upper
0.2,31.0,-135.0,18.58657716752789,90.0,upper
0.2,31.0,-130.0,19.560242560924493,90.0,upper
0.2,31.0,-125.0,20.610779121272323,90.0,upper
0.2,31.0,-120.0,21.74581973564781,90.0,upper
0.2,31.0,-115.0,22.973858024957895,90.0,upper
0.2,31.0,-110.0,24.30434366561493,90.0,upper
0.2,31.0,-105.0,25.747783621481393,90.0,upper
0.2,31.0,-100.0,27.315847080879358,90.0,upper
0.2,31.0,-95.0,29.021470338863733,90.0,upper
0.2,31.0,-90.0,30.87895560725698,90.0,upper
0.2,31.0,-85.0,32.904054504714274,90.0,upper
0.2,31.0,-80.0,35.11402242320519,90.0,upper
0.2,31.0,-75.0,37.527623637437614,90.0,upper
0.2,31.0,-70.0,40.165058377391155,90.0,upper
0.2,31.0,-65.0,43.04777151484988,90.0,upper
0.2,31.0,-60.0,46.19808744207565,90.0,upper
0.2,31.0,-55.0,49.63859678991381,90.0,upper
0.2,31.0,-50.0,53.39119810503777,90.0,upper
0.2,31.0,-45.0,57.47567305226974,90.0,upper
0.2,31.0,-40.0,61.90765113969819,90.0,upper
